Address,Transaction ID,Total Committed Amount in Algo,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov,period-15-voting-session-1-measure-1,period-15-voting-session-1-measure-2,period-15-voting-session-1-measure-3,period-15-voting-session-1-measure-4,period-15-voting-session-1-measure-5,period-15-voting-session-1-measure-6,period-15-voting-session-1-measure-7,period-15-voting-session-1-measure-8,period-15-voting-session-1-measure-9,period-15-voting-session-1-measure-10,period-15-voting-session-1-measure-11,period-15-voting-session-1-measure-12,period-15-voting-session-1-measure-13,period-15-voting-session-1-measure-14,period-15-voting-session-1-measure-15,period-15-voting-session-1-measure-16,period-15-voting-session-1-measure-17,period-15-voting-session-1-measure-18,period-15-voting-session-1-measure-19,period-15-voting-session-1-measure-20,period-15-voting-session-1-measure-21,period-15-voting-session-1-measure-22
KR65SJWGRPWFXE2F3XTZ5UPNCR2ALGOULGM5UFH2KHDOHOIDAUCNUZDFWQ,6H5R6Q7HGNX5JCKZ6VXDAREO45JH5HPDC55QQW7RKQGSTPMDBUUQ,208800000000,208800000000,0,,2025-07-07 15:11:02.137680+00:00,,,No,{'b': 208800000000},{'a': 208800000000},{'a': 208800000000},{'b': 208800000000},{'a': 208800000000},{'a': 208800000000},{'b': 208800000000},{'b': 208800000000},{'a': 208800000000},{'a': 208800000000},{'a': 208800000000},{'b': 208800000000},{'b': 208800000000},{'a': 208800000000},{'a': 208800000000},{'a': 208800000000},{'b': 208800000000},{'b': 208800000000},{'b': 208800000000},{'b': 208800000000},{'b': 208800000000},{'a': 208800000000}
ECQB5WKW2BEAM6GDYINJYFNUPGRROVZTRP6CX4WAUWZL6H7GX4QKOV5SME,SI5CDTTUFJL2BICXFKOOMXZ7FM66DALIQSU2WP7FWVGKC5WTZRAA,12753434315,12753434315,0,,2025-07-07 14:59:12.143101+00:00,,,No,{'a': 12753434315},{'c': 12753434315},{'a': 12753434315},{'b': 12753434315},{'a': 12753434315},{'a': 12753434315},{'a': 12753434315},{'b': 12753434315},{'a': 12753434315},{'c': 12753434315},{'a': 12753434315},{'b': 12753434315},{'b': 12753434315},{'c': 12753434315},{'a': 12753434315},{'a': 12753434315},{'b': 12753434315},{'a': 12753434315},{'b': 12753434315},{'a': 12753434315},{'a': 12753434315},{'a': 12753434315}
JVGFI5653YQIJ3DJPFDT3BH46S33OPQ6LMGFBMC6MWBZM2JVC7M6PBWBKU,AO457W7TOON6EKQ7HX7M52RFWY2UT2VADFN4JFJVSVHVZ5QHROCA,204005701643,0,204005701643,,2025-07-07 14:53:34.939049+00:00,,,No,{'a': 204005701643},{'a': 204005701643},{'a': 204005701643},{'b': 204005701643},{'a': 204005701643},{'a': 204005701643},{'a': 204005701643},{'b': 204005701643},{'a': 204005701643},{'a': 204005701643},{'b': 204005701643},{'b': 204005701643},{'b': 204005701643},{'a': 204005701643},{'a': 204005701643},{'a': 204005701643},{'b': 204005701643},{'b': 204005701643},{'b': 204005701643},{'a': 204005701643},{'a': 204005701643},{'a': 204005701643}
KRMX5F6VGU5JSKXP6DGXXCZ56GSSPAHO6ULFGMPDLH7CY4IH2N27TACFKU,7A7JIHW34MUROTT4GQRKUJJN42AROZKM773FJLVD6UX5PKRROZQA,3568237151,3568237151,0,,2025-07-07 14:51:46.329915+00:00,,,No,{'a': 3568237151},{'a': 3568237151},{'a': 3568237151},{'b': 3568237151},{'a': 3568237151},{'a': 3568237151},{'a': 3568237151},{'b': 3568237151},{'a': 3568237151},{'b': 3568237151},{'b': 3568237151},{'b': 3568237151},{'b': 3568237151},{'a': 3568237151},{'a': 3568237151},{'a': 3568237151},{'b': 3568237151},{'b': 3568237151},{'b': 3568237151},{'b': 3568237151},{'a': 3568237151},{'b': 3568237151}
MINTPIDR4NKZVHL6LB7ETVW35IZKXEV4U7D4LWFXVMKWSNGE4AZ6EYFAJA,OAWKEAUMDSAI3VKGVUHT2L3KCBLY7BGZYNF5OINLUNCVOS5ZCUFQ,5000000,5000000,0,,2025-07-07 14:49:54.583031+00:00,,,No,{'a': 5000000},{'a': 5000000},{'a': 5000000},{'c': 5000000},{'a': 5000000},{'a': 5000000},{'a': 5000000},{'c': 5000000},{'a': 5000000},{'c': 5000000},{'c': 5000000},{'c': 5000000},{'c': 5000000},{'a': 5000000},{'a': 5000000},{'a': 5000000},{'c': 5000000},{'c': 5000000},{'c': 5000000},{'c': 5000000},{'a': 5000000},{'a': 5000000}
SIMAHQAOASVV4ORQOOXL3RAQ7KJUGXFDMWMUOAZ5VIAZD2XVMGCZWI45KM,KPUHVSFIPXUF2WVL4J6DKNGVLI73SZBI2TYYI5DYLW7GE7J7AJ6A,2058272139,200000000,1858272139,,2025-07-07 14:49:15.364242+00:00,,,No,{'a': 2058272139},{'a': 2058272139},{'a': 2058272139},{'c': 2058272139},{'a': 2058272139},{'a': 2058272139},{'a': 2058272139},{'c': 2058272139},{'a': 2058272139},{'c': 2058272139},{'c': 2058272139},{'c': 2058272139},{'c': 2058272139},{'a': 2058272139},{'a': 2058272139},{'a': 2058272139},{'c': 2058272139},{'c': 2058272139},{'c': 2058272139},{'c': 2058272139},{'a': 2058272139},{'a': 2058272139}
BHHF6QTNCUX3XQW6UGXBZIPXEUHN6HLLFSY4D6IRKAWPT7BVU4FXQABSI4,Z55FKDLOYDGLMUS47N4FV2Q3CUII36G5OO5PGEDJ7SW6K2DJZTXQ,83000000000,83000000000,0,,2025-07-07 14:36:57.107850+00:00,,,No,{'c': 83000000000},{'c': 83000000000},{'a': 83000000000},{'c': 83000000000},{'a': 83000000000},{'a': 83000000000},{'c': 83000000000},{'c': 83000000000},{'a': 83000000000},{'b': 83000000000},{'c': 83000000000},{'c': 83000000000},{'b': 83000000000},{'b': 83000000000},{'b': 83000000000},{'a': 83000000000},{'b': 83000000000},{'c': 83000000000},{'c': 83000000000},{'c': 83000000000},{'b': 83000000000},{'b': 83000000000}
CRJV2WKCTAUI3R2NYWVNP2OX5ZT6MDN7YUGXD6XLDQ4AYAJNNUR2AUTE7M,3B5URAMQ4JQHLCIDMNSEN6LJNHML2PVHJUEAEOA6CWBI5RI7AN6A,49849403,0,49849403,,2025-07-07 14:34:00.755085+00:00,,,No,{'a': 49849403},{'a': 49849403},{'a': 49849403},{'b': 49849403},{'a': 49849403},{'a': 49849403},{'c': 49849403},{'b': 49849403},{'a': 49849403},{'c': 49849403},{'c': 49849403},{'c': 49849403},{'b': 49849403},{'c': 49849403},{'a': 49849403},{'a': 49849403},{'b': 49849403},{'b': 49849403},{'b': 49849403},{'c': 49849403},{'a': 49849403},{'c': 49849403}
BMG2OPCDNEVFG5LW4S6GT33PPEWXVJD7XEDLTED4BFWN5M4HXLZNCK3EWY,A5DP6AMP23PA535EGG452FGYEFWIFIMTX3PCTMVNHLSDZG2NY6PQ,20000000000,20000000000,0,,2025-07-07 14:32:49.545292+00:00,,,No,{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000},{'c': 20000000000}
5M4VJ6BQI2KPKZG2KM4TV4FDU76KAJYU6456YZQHK4Y6FFXRPNP3EPRM7A,XOU6ILWCWAKA2BZN6ATVXTD7V5OUJCZL25F5DHCZ52M5PU2S6UEA,31875102035,31875102035,0,,2025-07-07 14:30:16.559553+00:00,,,No,{'a': 31875102035},{'a': 31875102035},{'a': 31875102035},{'c': 31875102035},{'a': 31875102035},{'a': 31875102035},{'a': 31875102035},{'b': 31875102035},{'a': 31875102035},{'b': 31875102035},{'b': 31875102035},{'b': 31875102035},{'b': 31875102035},{'a': 31875102035},{'a': 31875102035},{'a': 31875102035},{'b': 31875102035},{'c': 31875102035},{'b': 31875102035},{'b': 31875102035},{'a': 31875102035},{'a': 31875102035}
KY7UXYQAN264YD24Y4YUYTGVZLRS7AHX6N6N7AF2OYK22DSOJ27GET2NYY,3AJB6YRPQ7HAQHEP5GAV6GDNKXJTHO3HZT5QAMO6VGJCJQDMJ4LQ,130000000000,130000000000,0,,2025-07-07 14:30:00.585802+00:00,,,No,{'a': 130000000000},{'a': 130000000000},{'a': 130000000000},{'b': 130000000000},{'a': 130000000000},{'b': 130000000000},{'a': 130000000000},{'b': 130000000000},{'a': 130000000000},{'a': 130000000000},{'b': 130000000000},{'b': 130000000000},{'b': 130000000000},{'a': 130000000000},{'a': 130000000000},{'a': 130000000000},{'b': 130000000000},{'b': 130000000000},{'b': 130000000000},{'b': 130000000000},{'a': 130000000000},{'a': 130000000000}
HS4UDE2JA2VLAL3HWXC3QJMCG4XCINHQFFCXH2JXCHYWAHLWEAKY26Z2SI,CVWQJVUBC2CUOYFJF4B5YWKVQK2SGXJFOGCPNET743IN5FVBQO4A,1899915072,0,1899915072,,2025-07-07 14:27:20.988664+00:00,,,No,{'a': 1899915072},{'a': 1899915072},{'a': 1899915072},{'b': 1899915072},{'b': 1899915072},{'a': 1899915072},{'a': 1899915072},{'b': 1899915072},{'a': 1899915072},{'b': 1899915072},{'b': 1899915072},{'b': 1899915072},{'b': 1899915072},{'b': 1899915072},{'a': 1899915072},{'a': 1899915072},{'b': 1899915072},{'b': 1899915072},{'b': 1899915072},{'b': 1899915072},{'a': 1899915072},{'a': 1899915072}
R2BPRCZNWG6NZPZFZP36DBSDPKSGUFMWVBHHBHOLZR65X2E5ZZLC4PHSSQ,LF7KXV7UL2LK27C3WWWB3RI7BBWP2XUVSLZED726KORVOJODH5SQ,972621140835,0,972621140835,,2025-07-07 14:24:51.839903+00:00,,,No,{'a': 972621140835},{'c': 972621140835},{'a': 972621140835},{'b': 972621140835},{'b': 972621140835},{'a': 972621140835},{'c': 972621140835},{'b': 972621140835},{'a': 972621140835},{'a': 972621140835},{'b': 972621140835},{'b': 972621140835},{'b': 972621140835},{'a': 972621140835},{'a': 972621140835},{'a': 972621140835},{'b': 972621140835},{'b': 972621140835},{'b': 972621140835},{'b': 972621140835},{'b': 972621140835},{'c': 972621140835}
22ZC7F62Z3HXFP6FU3TRNF4VWXXNT44RCOEPQMGYDJFODXCNUKQLQTUGMI,PD4MZNQIJ2LMXV45T5DX7IJNDKJRPHXM7KROY7RF62RZFYZLVHBQ,4343436874,0,4343436874,,2025-07-07 14:21:12.700077+00:00,,,No,{'a': 4343436874},{'a': 4343436874},{'a': 4343436874},{'b': 4343436874},{'a': 4343436874},{'a': 4343436874},{'a': 4343436874},{'b': 4343436874},{'a': 4343436874},{'c': 4343436874},{'a': 4343436874},{'b': 4343436874},{'c': 4343436874},{'c': 4343436874},{'a': 4343436874},{'a': 4343436874},{'b': 4343436874},{'b': 4343436874},{'b': 4343436874},{'c': 4343436874},{'a': 4343436874},{'a': 4343436874}
VLRA5ZZCV56D24PX4HJMA4KK7O6F62RWBETRXPXX6745AQC3BAT3FDKHRQ,C3TUZFO7FHX3XKFMVR42QSS2GGSNFFNE67DI37Y4RCFJCXHBWIOA,19000000,19000000,0,,2025-07-07 14:16:25.512213+00:00,,,No,{'a': 19000000},{'a': 19000000},{'a': 19000000},{'b': 19000000},{'a': 19000000},{'a': 19000000},{'a': 19000000},{'b': 19000000},{'a': 19000000},{'c': 19000000},{'a': 19000000},{'b': 19000000},{'c': 19000000},{'c': 19000000},{'a': 19000000},{'a': 19000000},{'b': 19000000},{'b': 19000000},{'b': 19000000},{'c': 19000000},{'a': 19000000},{'a': 19000000}
FISHERMANBPAHXQJEBJNIMMTBVNCOTXG6TUHYXQNE64FEJRVDTO3E3A43E,U7BNF46OOBPTMCFSAREHBXFTTM5UB72PGUALV3TS6MLE3XRWKO5A,1196804820,50000000,1146804820,,2025-07-07 14:14:32.362627+00:00,,,No,{'a': 1196804820},{'a': 1196804820},{'a': 1196804820},{'c': 1196804820},{'c': 1196804820},{'a': 1196804820},{'a': 1196804820},{'c': 1196804820},{'a': 1196804820},{'a': 1196804820},{'c': 1196804820},{'c': 1196804820},{'c': 1196804820},{'a': 1196804820},{'a': 1196804820},{'a': 1196804820},{'c': 1196804820},{'c': 1196804820},{'c': 1196804820},{'c': 1196804820},{'c': 1196804820},{'a': 1196804820}
555EBDB7FCDMKZ2PRYUX3G2IWKU3I2HZG46TVTLFZ37VO55L4KIEKXB454,THH3X64OTOXWKU3O5RC2ICUOZAWHYG4LVRQSVYHYIHNR7LAZU6BA,11964885303,0,11964885303,,2025-07-07 14:08:07.955152+00:00,GPHONPBOLZMM6YS2DLBRS4G6E2OJFJ4KD2GUFGOECIJEOAWCCFMBHXLFUM,,No,{'a': 11964885303},{'a': 11964885303},{'a': 11964885303},{'b': 11964885303},{'a': 11964885303},{'a': 11964885303},{'b': 11964885303},{'a': 11964885303},{'a': 11964885303},{'a': 11964885303},{'b': 11964885303},{'b': 11964885303},{'b': 11964885303},{'a': 11964885303},{'a': 11964885303},{'a': 11964885303},{'b': 11964885303},{'b': 11964885303},{'b': 11964885303},{'b': 11964885303},{'c': 11964885303},{'c': 11964885303}
C5AN3H22ATPXVEPQILQQYPZWBXPI3E7OH4QSCKW7KWVIJXPG3KBN6WCSZ4,7DOE5MWWL335IQ6VB6QWLZGXD7HSOG5UYA5AKG7V27FYCDJDFVNQ,1632134520,319451560,1312682960,,2025-07-07 13:42:18.661111+00:00,,,No,{'a': 1632134520},{'a': 1632134520},{'a': 1632134520},{'b': 1632134520},{'a': 1632134520},{'a': 1632134520},{'a': 1632134520},{'b': 1632134520},{'a': 1632134520},{'b': 1632134520},{'b': 1632134520},{'b': 1632134520},{'b': 1632134520},{'a': 1632134520},{'a': 1632134520},{'a': 1632134520},{'b': 1632134520},{'b': 1632134520},{'b': 1632134520},{'b': 1632134520},{'a': 1632134520},{'a': 1632134520}
25XJOAIDMH3ZT4Y7V2AX4DUB7OSHPTZHHVVHHXYVQRMBKXA7W2UZMKOGNQ,RY7JCZNN7NKUZQMDC2Y4NCITPAR77O2HXKQWHMT2IRHEDIJC2ZOQ,4304033068,4304033068,0,,2025-07-07 13:40:39.124885+00:00,,,No,{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'c': 4304033068},{'b': 4304033068},{'a': 4304033068},{'c': 4304033068},{'c': 4304033068},{'a': 4304033068},{'b': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'c': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068},{'a': 4304033068}
6MEL7VBLBTMJSEQA3DMDMA3LRAJQNYR7VQZB3MHGSXGGXDEVMIPGVCNVUM,ITBZDLZ2NEUMJYJYHKRUDDSBH367BIDFIJUIO5K437272QBJMGTA,953289218,930000000,23289218,,2025-07-07 13:40:33.179519+00:00,,,No,{'b': 953289218},{'a': 953289218},{'a': 953289218},{'b': 953289218},{'a': 953289218},{'a': 953289218},{'a': 953289218},{'b': 953289218},{'a': 953289218},{'b': 953289218},{'b': 953289218},{'b': 953289218},{'b': 953289218},{'a': 953289218},{'a': 953289218},{'a': 953289218},{'b': 953289218},{'b': 953289218},{'b': 953289218},{'b': 953289218},{'a': 953289218},{'b': 953289218}
XADPV3PUOX6G2WPQ7X3K7BXC3K6W46BF5ZML4UYUF7FL55O4KWLV4OFJP4,3FFHEGT2CJQBWY45F5XUUE6YAL6APFNMLXFTOMUD2D5Z6D7L6ECQ,36075031295,0,36075031295,,2025-07-07 13:28:16.439256+00:00,,,No,{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'a': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'a': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295},{'b': 36075031295}
RAWXV4MUATAQOXGS33EW5BQFPRQOHHRYS4E5VWFHVVDHAUUMFELZ2VGLGA,BSPEGYFGSF7RQRDA2NHXDO2FZDXDOFNCQOBT3QYRATCYZF6LU65Q,170000000000,170000000000,0,,2025-07-07 13:26:19.428997+00:00,,,No,{'a': 170000000000},{'a': 170000000000},{'a': 170000000000},{'b': 170000000000},{'a': 170000000000},{'a': 170000000000},{'c': 170000000000},{'c': 170000000000},{'a': 170000000000},{'a': 170000000000},{'a': 170000000000},{'b': 170000000000},{'c': 170000000000},{'a': 170000000000},{'a': 170000000000},{'a': 170000000000},{'b': 170000000000},{'b': 170000000000},{'b': 170000000000},{'c': 170000000000},{'c': 170000000000},{'c': 170000000000}
XB6ICYSQ6TFR77JJE6OR4KLE4M7M4ISGF6NU3ZL7IBITUPFGO5DX374ZBM,ZPCFV7E75Q3R3UZGR4LOCKVOV5UIFSGA7XRTA4REL5SDOZCHLRRQ,250000000000,250000000000,0,,2025-07-07 13:17:54.093956+00:00,,,No,{'b': 250000000000},{'a': 250000000000},{'a': 250000000000},{'b': 250000000000},{'a': 250000000000},{'a': 250000000000},{'a': 250000000000},{'b': 250000000000},{'a': 250000000000},{'b': 250000000000},{'b': 250000000000},{'b': 250000000000},{'b': 250000000000},{'a': 250000000000},{'a': 250000000000},{'a': 250000000000},{'b': 250000000000},{'b': 250000000000},{'b': 250000000000},{'b': 250000000000},{'a': 250000000000},{'b': 250000000000}
PARR5P54WZW5T5R2GKT37UVUZP6ZSNBR7V74RJNSA3US3ZAFP7XIKMTD5Y,AJQEMWL7KDWF3ADFZHDUJZLRYCHCIR3ETBNKIHFWO4WXPNQLAPOA,256082490611,0,256082490611,,2025-07-07 13:16:50.235385+00:00,,,No,{'a': 256082490611},{'a': 256082490611},{'a': 256082490611},{'b': 256082490611},{'a': 256082490611},{'a': 256082490611},{'a': 256082490611},{'b': 256082490611},{'a': 256082490611},{'a': 256082490611},{'a': 256082490611},{'b': 256082490611},{'b': 256082490611},{'a': 256082490611},{'a': 256082490611},{'a': 256082490611},{'b': 256082490611},{'b': 256082490611},{'b': 256082490611},{'b': 256082490611},{'b': 256082490611},{'b': 256082490611}
KSV2LL337J25SELR34HSMAZGOY2LUN47T3WA3R6Q5KN33KA5KI4XWAG6AM,6VIYHVA34JJXA4EG7KHRDZKIPFSM3OB7TKPBOLV3GZ6JVJ67SIKA,42000000000,42000000000,0,,2025-07-07 13:10:23.891311+00:00,,,No,{'a': 42000000000},{'a': 42000000000},{'a': 42000000000},{'b': 42000000000},{'a': 42000000000},{'a': 42000000000},{'a': 42000000000},{'b': 42000000000},{'a': 42000000000},{'b': 42000000000},{'b': 42000000000},{'b': 42000000000},{'b': 42000000000},{'c': 42000000000},{'a': 42000000000},{'a': 42000000000},{'b': 42000000000},{'b': 42000000000},{'b': 42000000000},{'c': 42000000000},{'a': 42000000000},{'a': 42000000000}
CYPM54U6RHEHQ7T3J5AVT3XEAJBVRDF6DXHPUGHI4J4BMECOBECKTY53XA,BHCWEJSKLP3U5Q3MZL6RHV4CLQQXYPC3FKGBO5OOX3EZTECSAYLA,14718101056,0,14718101056,,2025-07-07 12:47:22.524310+00:00,,,No,{'a': 14718101056},{'a': 14718101056},{'a': 14718101056},{'b': 14718101056},{'a': 14718101056},{'a': 14718101056},{'a': 14718101056},{'b': 14718101056},{'a': 14718101056},{'a': 14718101056},{'a': 14718101056},{'b': 14718101056},{'b': 14718101056},{'a': 14718101056},{'a': 14718101056},{'a': 14718101056},{'b': 14718101056},{'b': 14718101056},{'b': 14718101056},{'b': 14718101056},{'b': 14718101056},{'b': 14718101056}
